,Born,Raised,Residence,Transportation,Commute,Family,Area,Batch,province,region
0,Kathmandu,Kathmandu,Chabahil,Foot,25,3,North East,25B,Province 3,Hilly
1,Morang,Morang,kalo pul,Foot,5,4,West,25B,Province 2,Terai
2,Kathmandu,Kathmandu,Narayantaar,Scooter,25,5,North,25B,Province 3,Hilly
3,Kathmandu,Kathmandu,Baneshwor,Scooter,10,8,East,25B,Province 3,Hilly
4,Lalitpur,Lalitpur,Godawari,Scooter,40,5,South,25B,Province 3,Hilly
5,Morang,Morang,Lokanthali,Public,40,4,North East,25B,Province 2,Terai
6,Kathmandu,Kathmandu,Sifal,Foot,5,4,North West,25B,Province 3,Hilly
7,Dang,Kathmandu,Baneshwor,Foot,20,1,East,26B,Province 5,Terai
8,Kathmandu,Kathmandu,Baluwatar,Motorbike,25,3,North West,26B,Province 3,Hilly
9,Kathmandu,Kathmandu,Kamalpokhari,Car,10,5,South West,26B,Province 3,Hilly
10,Rupandehi,Kathmandu,Dhapasi,Scooter,20,4,North,26B,Province 5,Terai
11,Kathmandu,Kathmandu,Bhaktapur,Car,25,4,North East,26B,Province 3,Hilly
12,Kathmandu,Kathmandu,Tokha,Public,90,6,North,26B,Province 3,Hilly
13,Parsa,Kathmandu,Gaurighat,Scooter,10,2,South,26B,Province 2,Terai
14,Lalitpur,Kathmandu,Bafal,Motorbike,38,5,West,24C,Province 3,Hilly
15,Chitwan,Chitwan,Swyambhu ,Scooter,20,5,West,24C,Province 3,Terai
16,Kathmandu,Kathmandu,Naya Bazaar,Cycle,13,5,North,24C,Province 3,Hilly
17,Kathmandu,Kathmandu,Jorpati,Motorbike,10,5,North East,24C,Province 3,Hilly
18,Rupandehi,Rupandehi,Shankhamul,Public,20,5,South,24C,Province 5,Terai
19,Kathmandu,Kathmandu,Maitidevi,Foot,15,6,North West,24C,Province 3,Hilly
20,Lalitpur,Lalitpur,Satdobato,Scooter,30,4,South,24C,Province 3,Hilly
21,Kaski,Kathmandu,Lazimpat,Foot,40,5,North West,24C,Province 4,Hilly
22,Kathmandu,Kathmandu,Kapurdhara,Public,15,5,North,24C,Province 3,Hilly
23,Jhapa,Kathmandu,Chabahil,Foot,7,4,North East,24C,Province 2,Terai
24,Kathmandu,Kathmandu,Chabahil,Foot,5,4,North East,24C,Province 3,Hilly
25,Kanchanpur,Kanchanpur,Tikathali,Public,50,4,South,24C,Province 7,Terai
26,Lalitpur,Lalitpur,Gothatar,Motorbike,10,3,East,24C,Province 3,Hilly
27,Jhapa,Bhaktapur,Thimi,Motorbike,20,4,East,24C,Province 2,Terai
28,Kathmandu,Kathmandu,Naxal,Foot,20,5,North West,24C,Province 3,Hilly
29,Morang,Morang,Sifal,Foot,2,4,West,24C,Province 2,Terai
30,Lalitpur,Kathmandu,Pepsicola,Motorbike,15,4,East,24C,Province 3,Hilly
31,Kathmandu,Kathmandu,Kapan,Public,15,3,North East,24C,Province 3,Hilly
32,Kathmandu,Kathmandu,New Baneshwor,Motorbike,10,4,East,24C,Province 3,Hilly
33,Kathmandu,Kathmandu,Budhanilkantha,Car,20,4,North,24C,Province 3,Hilly
34,Morang,Kathmandu,Sifal,Foot,5,5,West,24C,Province 2,Terai
35,Kathmandu,Bhaktapur,Lokanthali,Car,35,3,East,24C,Province 3,Hilly
36,Lalitpur,Lalitpur,Hattiban,Scooter,25,4,South,24C,Province 3,Hilly
37,Kathmandu,Kathmandu,Chabahil,Foot,5,4,North East,24C,Province 3,Hilly
38,Kathmandu,Kathmandu,Chabahil,Scooter,3,4,North East,24C,Province 3,Hilly
39,Kathmandu,Lalitpur,Sanepa,Scooter,15,6,South,24C,Province 3,Hilly
40,Kathmandu,Kathmandu,Sifal,Foot,3,5,West,24C,Province 3,Hilly
41,Lalitpur,Kathmandu,Balaju,Scooter,10,4,North West,24C,Province 3,Hilly
42,Kathmandu,Kathmandu,Boudhha,Foot,25,4,North East,24C,Province 3,Hilly
43,Kathmandu,Kathmandu,Yellow Pool,Foot,15,6,North,24C,Province 3,Hilly
44,Lalitpur,Bhaktapur,Balkot,Public,50,4,North East,24C,Province 3,Hilly
45,Kathmandu,Kathmandu,Swyambhu ,Motorbike,22,4,West,24C,Province 3,Hilly
46,Kathmandu,Kathmandu,Minbhawan,Scooter,10,5,South,24C,Province 3,Hilly
47,Kathmandu,Kathmandu,Chabahil,Foot,12,3,North East,24C,Province 3,Hilly
48,Lalitpur,Kathmandu,Kalanki,Scooter,25,4,West,24C,Province 3,Hilly
